Pipiri	Hune	June
Hōngongoi	Hūrae	July
Here-turi-kōkā	Akuhata	August
Mahuru	Hepetema	September
Whiringa-ā-nuku	Oketopa	October
Whiringa-ā-rangi	Noema	November
Hakihea	Tihema	December
Kohi-tātea	Hānuere	January
Hui-tanguru	Pēpuere	February
Poutū-te-rangi	Maehe	March
Paenga-whāwhā	Āperira	April
Haratua	Mei	May
